Elf Code,Electrolyte,CE (%),LCE,Solvent_1,Solvent_2,Solvent_3,Solvent_4,Solvent_5,Salt_1,Salt_2,Salt_3,Method,Current (mA/cm2),Capacity (mAh/cm2),Cycle,Reference
99,1 M LiFSI DMeTHF,98.40,1.796,CC1CCC(C)O1:8.31702544031311,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,1,1,40,45
100,1.7 M LiFSI MeTHF-TTE (1:1 vol),99.50,2.301,CC1CCCO1:4.957622199,FC(F)C(F)(F)COC(F)(F)C(F)F:3.301203885,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.7,,,Cycle,1,1,40,45
101,6 M LiPF6 EC-DEC (1:1 vol),96.00,1.398,C1COC(=O)O1:7.49471962935205,O=C(OCC)OCC:4.12680944721917,,,,[Li+].F[P-](F)(F)(F)(F)F:6,,,Cycle,0.5,1,90,46
102,1 M LiTFSI DOL-DME (1:1 vol) 2wt% LiNO3,98.50,1.824,O1CCOC1:7.15462080509733,COCCOC:4.81580115401687,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,[Li+].[N+](=O)([O-])[O-]:0.310917593936462,,Cycle,0.5,1,150,46
103,1 M LiFSI FEC,96.11,1.410,C1C(OC(=O)O1)F:13.709996794086,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,0.25,0.5,100,47
104,2 M LiFSI FEC,96.76,1.489,C1C(OC(=O)O1)F:13.709996794086,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,Cycle,0.25,0.5,100,47
105,3 M LiFSI FEC,97.14,1.544,C1C(OC(=O)O1)F:13.709996794086,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3,,,Cycle,0.25,0.5,100,47
106,4 M LiFSI FEC,97.41,1.587,C1C(OC(=O)O1)F:13.709996794086,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4,,,Cycle,0.25,0.5,100,47
107,5 M LiFSI FEC,97.65,1.629,C1C(OC(=O)O1)F:13.709996794086,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:5,,,Cycle,0.25,0.5,100,47
108,6 M LiFSI FEC,97.67,1.633,C1C(OC(=O)O1)F:13.709996794086,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:6,,,Cycle,0.25,0.5,100,47
109,7 M LiFSI FEC,97.74,1.646,C1C(OC(=O)O1)F:13.709996794086,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:7,,,Cycle,0.25,0.5,100,47
110,0.5 M LiTFSI 0.5 M LiNO3 DOL-DME (1:1 v),97.00,1.523,O1CCOC1:7.15462080509733,COCCOC:4.81580115401687,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:0.5,[Li+].[N+](=O)([O-])[O-]:0.5,,Cycle,0.5,0.5,100,48
111,1 M LiClO4 EC-ES (1:1 vol),97.00,1.523,C1COC(=O)O1:7.49471962935205,C1COS(=O)O1:8.4002861087546,,,,[Li+].[O-]Cl(=O)(=O)=O:1,,,Cycle,0.5,0.5,450,49
112,LiFSI SL (1:3 molar),97.30,1.569,O=S1(=O)CCCC1:3,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,1,0.5,370,50
113,LiFSI SL (1:2.5 molar),98.00,1.699,O=S1(=O)CCCC1:2.5,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,1,0.5,440,50
114,1 M LiFSI/EC-ETFEC (3:7 vol),97.50,1.602,C1COC(=O)O1:4.49683177761123,O=C(OCC)OCC(F)(F)F:5.09627787526292,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.25,0.5,10,51
115,5 M LiFSI/EC-ETFEC (3:7 vol),99.10,2.046,C1COC(=O)O1:4.49683177761123,O=C(OCC)OCC(F)(F)F:5.09627787526292,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:5,,,Aurbach,0.25,0.5,10,51
116,5 M LiFSI PC,97.50,1.602,CC1COC(=O)O1:11.7545646892877,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:5,,,Cycle,0.2,1,100,52
117,6 M LiFSI DMC,98.70,1.886,COC(=O)OC:11.8785941073292,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:6,,,Cycle,0.2,1,200,52
118,8 M LiFSI PC,98.80,1.921,CC1COC(=O)O1:11.7545646892877,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:8,,,Cycle,0.2,1,200,52
119,10 M LiFSI DMC,99.20,2.097,COC(=O)OC:11.8785941073292,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:10,,,Cycle,0.2,1,200,52
120,10 M LiFSI EC-DMC,99.30,2.155,C1COC(=O)O1:7.49471962935205,COC(=O)OC:5.9392970536646,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:10,,,Cycle,0.2,1,240,52
121,1 M LiPF6 MTFP-FEC (9:1 vol),97.60,1.620,COC(=O)CC(F)(F)F:7.86106418918919,C1C(OC(=O)O1)F:1.3709996794086,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Aurbach,0.5,1,10,53
122,"1 M LiPF6 EC-DMC (1:1 v), 0.5 M LiNO3 TEGDME, 70%",97.70,1.638,C1COC(=O)O1:2.24841588880561,COC(=O)OC:1.78178911609938,COCCOCCOCCOCCOC:6.74212161562361,,,[Li+].F[P-](F)(F)(F)(F)F:0.3,[Li+].[N+](=O)([O-])[O-]:0.35,,Cycle,0.5,1,80,54
123,"1 M LiPF6 EC-DMC (1:1 v), 0.5 M LiNO3 TEGDME, 50%",97.90,1.678,C1COC(=O)O1:3.74735981467602,COC(=O)OC:2.9696485268323,COCCOCCOCCOCCOC:4.81580115401687,,,[Li+].F[P-](F)(F)(F)(F)F:0.5,[Li+].[N+](=O)([O-])[O-]:0.25,,Cycle,0.5,1,200,54
124,1 m LiFSI DMFSA,97.87,1.672,CN(C)S(=O)(=O)F:7.86515970207,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,0.5,0.5,200,55
125,1 m LiFSI FEC,95.36,1.333,C1C(OC(=O)O1)F:13.709996794086,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,0.5,0.5,75,55
126,2.5 m LiFSI DMFSA,99.03,2.013,CN(C)S(=O)(=O)F:7.86515970207,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.5,,,Cycle,0.5,0.5,400,55
127,2.5 m LiFSI FEC,97.72,1.642,C1C(OC(=O)O1)F:13.709996794086,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.5,,,Cycle,0.5,0.5,200,55
128,4.6 M LiFSI 2.3 M LiTFSI DME,97.90,1.678,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4.6,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:2.3,,Cycle,0.5,0.5,200,56
129,4.6 M LiFSI DME,98.20,1.745,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4.6,,,Cycle,0.5,0.5,200,56
130,1 LiFSI - 3 TMS (SL),98.20,1.745,O=S1(=O)CCCC1:3,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,0.5,1,150,57
131,1 LiFSI - 3 TMS (SL) - 3 TTE,98.80,1.921,O=S1(=O)CCCC1:3,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,0.5,1,150,57
132,1.2 M LiFSI DMC-BTFE (1:2 mol),98.20,1.745,COC(=O)OC:2.87789167756822,C(C(F)(F)F)OCC(F)(F)F:5.84299219385063,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,Cycle,0.5,1,60,58
133,1.2 M LiFSI 0.15 M LiDFOB EC-EMC-BTFE (0.175:0.825:2 mol),98.50,1.824,C1COC(=O)O1:0.4910049149,CCOC(=O)OC:2.314737456,C(C(F)(F)F)OCC(F)(F)F:5.611484741,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:0.15,,Cycle,0.5,1,200,58
134,LiFSI-AN-VC (0.52:1:0.09 molar),98.60,1.854,CC#N:1,C1=COC(=O)O1:0.09,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.52,,,Aurbach,1,1,10,59
135,3 M LiFSI DOL-DME (1:1 vol),98.75,1.903,O1CCOC1:7.15462080509733,COCCOC:4.81580115401687,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3,,,Cycle,1,1.62,100,60
136,1 M LiFSI DOL-DME (1:1 vol),98.90,1.959,COCCOC:4.81580115401687,O1CCOC1:7.15462080509733,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,61
137,1 M LiFSI Diethyl Ether,98.90,1.959,CCOCC:9.62493254182407,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,61
138,1.2 M LiFSI DEE,99.00,2.000,CCOCCOCC:7.125207325,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,Aurbach,0.5,1,10,62
139,1.2 M LiFSI F3DEE,99.30,2.155,FC(F)(F)COCCOCC:6.21558194112043,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,Aurbach,0.5,1,10,62
140,1.2 M LiFSI F6DEE,99.30,2.155,FC(F)(F)COCCOCC(F)(F)(F):6.19129327271762,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,Aurbach,0.5,1,10,62
141,1.2 M LiFSI F4DEE,99.50,2.301,FC(F)COCCOCC(F)(F):6.52151046597244,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,Aurbach,0.5,1,10,62
142,1.2 M LiFSI F5DEE,99.50,2.301,FC(F)COCCOCC(F)(F)(F):6.19798973728211,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,Aurbach,0.5,1,10,62
143,1 M LiFSI DEE,99.04,2.018,CCOCCOCC:7.125207325,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,63
144,4 M LiFSI DEE,99.38,2.208,CCOCCOCC:7.12520732491622,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4,,,Aurbach,0.5,1,10,63
145,LiFSI-1.4TEP-3TTE,99.10,2.046,CCOP(=O)(OCC)OCC:1.4,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,64
146,LiFSI-1DME-3TTE,99.50,2.301,COCCOC:1,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,64
147,1 M LiPF6 FEC-FEMC-D2 (2:6:2 wt),99.20,2.097,C1C(OC(=O)O1)F:2.57069238639734,COC(=O)OCC(F)(F)F:5.333139431,C(C(F)(F)F)OC(C(F)F)(F)F:1.36272498,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,Cycle,0.2,1,500,65
148,LiFSI-TEP 1:1 molar,99.20,2.097,CCOP(=O)(OCC)OCC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,0.2,1,300,66
149,LiFSI-TEP 1:1.5 molar,99.30,2.155,CCOP(=O)(OCC)OCC:1.5,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,0.2,1,300,66
150,LiFSI-DME-FB (1:1.2:3 molar),99.30,2.155,COCCOC:1.2,C1=CC=C(C=C1)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,1,1,500,67
151,1 M LiFSI DME-TTE (1:2 vol),99.30,2.155,COCCOC:3.210534103,FC(F)C(F)(F)COC(F)(F)C(F)F:4.40160518,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Cycle,0.2,0.5,100,68
152,1.2 M LiTFSI 1M AN in FM,99.40,2.222,FC:16.3659869542222,CC#N:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,Cycle,0.5,1,200,69
153,"1 M LiFSI/6FDMH-DME (6:1, vol%)",99.50,2.301,COCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC:4.650419947,COCCOC:1.375943187,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,Aurbach,0.5,1,10,70
154,0.9 M LiFSI/DME,95.88,1.385,COCCOC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.1,,,Aurbach,0.5,1,10,71
155,2.5 M LiFSI/DME,98.55,1.839,COCCOC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.31,,,Aurbach,0.5,1,10,71
156,3.6 M LiFSI/DME,99.18,2.086,COCCOC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.52,,,Aurbach,0.5,1,10,71
157,6.6 M LiFSI/DME,99.16,2.076,COCCOC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.26,,,Aurbach,0.5,1,10,71
158,3.3 M LiFSI/DME:PFB (1:1),99.47,2.276,COCCOC:1,CC(F)(F)CC(F)(F)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.09,,,Aurbach,0.5,1,10,71
159,2.6 M LiFSI/DME:PFB (1:2),99.82,2.745,COCCOC:1,CC(F)(F)CC(F)(F)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.02,,,Aurbach,0.5,1,10,71
160,1.8 M LiFSI/DME:PFB (1:3),99.70,2.523,COCCOC:1,CC(F)(F)CC(F)(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.98,,,Aurbach,0.5,1,10,71
161,3.2 M LiFSI/DME:FB (1:1),99.52,2.319,COCCOC:1,C1=CC=C(C=C1)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.13,,,Aurbach,0.5,1,10,71
162,2.6 M LiFSI/DME:FB (1:2),99.62,2.420,COCCOC:1,C1=CC=C(C=C1)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.07,,,Aurbach,0.5,1,10,71
163,1.9 M LiFSI/DME:FB (1:3),99.45,2.260,COCCOC:1,C1=CC=C(C=C1)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.03,,,Aurbach,0.5,1,10,71
164,2.7 M LiFSI/DME:TTE (1:1),99.52,2.319,COCCOC:1,FC(F)C(F)(F)COC(F)(F)C(F)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.03,,,Aurbach,0.5,1,10,71
165,1.7 M LiFSI/DME:TTE (1:2),99.50,2.301,COCCOC:1,FC(F)C(F)(F)COC(F)(F)C(F)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.93,,,Aurbach,0.5,1,10,71
166,1.3 M LiFSI/DME:TTE (1:3),99.44,2.252,COCCOC:1,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.87,,,Aurbach,0.5,1,10,71
167,1.0 M LiFSI/Diethyl Ether,99.23,2.114,CCOCC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.1,,,Aurbach,0.5,1,10,71
168,2.7 M LiFSI/Diethyl Ether,99.50,2.301,CCOCC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.31,,,Aurbach,0.5,1,10,71
169,3.1 M LiFSI/Diethyl Ether,99.48,2.284,CCOCC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.52,,,Aurbach,0.5,1,10,71
170,4.5 M LiFSI/Diethyl Ether,99.12,2.056,CCOCC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.97,,,Aurbach,0.5,1,10,71
171,2.6 M LiFSI/Diethyl Ether:PFB (1:1),99.71,2.538,CCOCC:1,CC(F)(F)CC(F)(F)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.78,,,Aurbach,0.5,1,10,71
172,2.0 M LiFSI/Diethyl Ether:PFB (1:2),99.71,2.538,CCOCC:1,CC(F)(F)CC(F)(F)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.72,,,Aurbach,0.5,1,10,71
173,1.3 M LiFSI/Diethyl Ether:PFB (1:3),99.69,2.509,CCOCC:1,CC(F)(F)CC(F)(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.66,,,Aurbach,0.5,1,10,71
174,3.0 M LiFSI/Diethyl Ether:FB (1:1),99.57,2.367,CCOCC:1,C1=CC=C(C=C1)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.76,,,Aurbach,0.5,1,10,71
175,1.9 M LiFSI/Diethyl Ether:FB (1:2),99.63,2.432,CCOCC:1,C1=CC=C(C=C1)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.72,,,Aurbach,0.5,1,10,71
176,1.5 M LiFSI/Diethyl Ether:FB (1:3),99.61,2.409,CCOCC:1,C1=CC=C(C=C1)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.67,,,Aurbach,0.5,1,10,71
177,2.3 M LiFSI/Diethyl Ether:TTE (1:1),99.68,2.495,CCOCC:1,FC(F)C(F)(F)COC(F)(F)C(F)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.81,,,Aurbach,0.5,1,10,71
178,1.2 M LiFSI/Diethyl Ether:TTE (1:2),99.61,2.409,CCOCC:1,FC(F)C(F)(F)COC(F)(F)C(F)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.57,,,Aurbach,0.5,1,10,71
179,0.8 M LiFSI/Diethyl Ether:TTE (1:3),99.39,2.215,CCOCC:1,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.49,,,Aurbach,0.5,1,10,71
180,0.9 M LiFSI/THF,98.03,1.706,C1CCOC1:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.08,,,Aurbach,0.5,1,10,71
181,2.4 M LiFSI/THF,98.32,1.775,C1CCOC1:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.24,,,Aurbach,0.5,1,10,71
182,3.6 M LiFSI/THF,99.40,2.222,C1CCOC1:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.41,,,Aurbach,0.5,1,10,71
183,5.3 M LiFSI/THF,99.03,2.013,C1CCOC1:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.9,,,Aurbach,0.5,1,10,71
184,2.4 M LiFSI/THF:PFB (1:1),99.58,2.377,C1CCOC1:1,CC(F)(F)CC(F)(F)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.66,,,Aurbach,0.5,1,10,71
185,1.7 M LiFSI/THF:PFB (1:2),99.70,2.523,C1CCOC1:1,CC(F)(F)CC(F)(F)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.65,,,Aurbach,0.5,1,10,71
186,1.2 M LiFSI/THF:PFB (1:3),99.63,2.432,C1CCOC1:1,CC(F)(F)CC(F)(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.64,,,Aurbach,0.5,1,10,71
187,3.0 M LiFSI/THF:FB (1:1),99.47,2.276,C1CCOC1:1,C1=CC=C(C=C1)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.71,,,Aurbach,0.5,1,10,71
188,2.0 M LiFSI/THF:FB (1:2),99.53,2.328,C1CCOC1:1,C1=CC=C(C=C1)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.7,,,Aurbach,0.5,1,10,71
189,1.6 M LiFSI/THF:FB (1:3),99.61,2.409,C1CCOC1:1,C1=CC=C(C=C1)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.69,,,Aurbach,0.5,1,10,71
190,2.0 M LiFSI/THF:TTE (1:1),99.51,2.310,C1CCOC1:1,FC(F)C(F)(F)COC(F)(F)C(F)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.66,,,Aurbach,0.5,1,10,71
191,1.4 M LiFSI/THF:TTE (1:2),99.33,2.174,C1CCOC1:1,FC(F)C(F)(F)COC(F)(F)C(F)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.66,,,Aurbach,0.5,1,10,71
192,1.0 M LiFSI/THF:TTE (1:3),99.14,2.066,C1CCOC1:1,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.64,,,Aurbach,0.5,1,10,71
193,3.3 M LiFSI/DMC,98.83,1.932,COC(=O)OC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.42,,,Aurbach,0.5,1,10,71
194,4.2 M LiFSI/DMC,99.33,2.174,COC(=O)OC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.59,,,Aurbach,0.5,1,10,71
195,5.2 M LiFSI/DMC,99.31,2.161,COC(=O)OC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.76,,,Aurbach,0.5,1,10,71
196,5.3 M LiFSI/DMC,99.33,2.174,COC(=O)OC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.85,,,Aurbach,0.5,1,10,71
197,2.4 M LiFSI/DMC:PFB (1:1),99.47,2.276,COC(=O)OC:1,CC(F)(F)CC(F)(F)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.71,,,Aurbach,0.5,1,10,71
198,1.6 M LiFSI/DMC:PFB (1:2),99.52,2.319,COC(=O)OC:1,CC(F)(F)CC(F)(F)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.66,,,Aurbach,0.5,1,10,71
199,1.2 M LiFSI/DMC:PFB (1:3),99.59,2.387,COC(=O)OC:1,CC(F)(F)CC(F)(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.6,,,Aurbach,0.5,1,10,71
200,2.7 M LiFSI/DMC:FB (1:1),99.45,2.260,COC(=O)OC:1,C1=CC=C(C=C1)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.75,,,Aurbach,0.5,1,10,71
201,1.9 M LiFSI/DMC:FB (1:2),99.46,2.268,COC(=O)OC:1,C1=CC=C(C=C1)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.68,,,Aurbach,0.5,1,10,71
202,1.4 M LiFSI/DMC:FB (1:3),98.79,1.917,COC(=O)OC:1,C1=CC=C(C=C1)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.64,,,Aurbach,0.5,1,10,71
203,2.0 M LiFSI/DMC:TTE (1:1),99.48,2.284,COC(=O)OC:1,FC(F)C(F)(F)COC(F)(F)C(F)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.66,,,Aurbach,0.5,1,10,71
204,1.3 M LiFSI/DMC:TTE (1:2),99.44,2.252,COC(=O)OC:1,FC(F)C(F)(F)COC(F)(F)C(F)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.58,,,Aurbach,0.5,1,10,71
205,0.9 M LiFSI/DMC:TTE (1:3),99.27,2.137,COC(=O)OC:1,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.54,,,Aurbach,0.5,1,10,71
206,3.4 M LiFSI/DEC,97.81,1.660,O=C(OCC)OCC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.61,,,Aurbach,0.5,1,10,71
207,4.0 M LiFSI/DEC,98.84,1.936,O=C(OCC)OCC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.76,,,Aurbach,0.5,1,10,71
208,"0.5 M LiFSI/1,4-DX",84.19,0.801,O1CCOCC1:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.04,,,Aurbach,0.5,1,10,71
209,"0.9 M LiFSI/1,4-DX",95.92,1.389,O1CCOCC1:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.09,,,Aurbach,0.5,1,10,71
210,"1.3 M LiFSI/1,4-DX",97.08,1.535,O1CCOCC1:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.13,,,Aurbach,0.5,1,10,71
211,2.0 M LiFSI/TEP,96.07,1.406,CCOP(=O)(OCC)OCC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.42,,,Aurbach,0.5,1,10,71
212,2.5 M LiFSI/TEP,97.53,1.607,CCOP(=O)(OCC)OCC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.59,,,Aurbach,0.5,1,10,71
213,3.1 M LiFSI/TEP,97.96,1.690,CCOP(=O)(OCC)OCC:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.85,,,Aurbach,0.5,1,10,71
214,4.7 M LiFSI/EA,98.36,1.785,O=C(OCC)C:1,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.84,,,Cycle,0.5,1,,71
215,2.7 M LiFSI/EA:FB (1:1),99.62,2.420,O=C(OCC)C:1,C1=CC=C(C=C1)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.75,,,Aurbach,0.5,1,10,71
216,1.9 M LiFSI/EA:FB (1:2),99.65,2.456,O=C(OCC)C:1,C1=CC=C(C=C1)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.69,,,Aurbach,0.5,1,10,71
217,1.4 M LiFSI/EA:FB (1:3),98.93,1.971,O=C(OCC)C:1,C1=CC=C(C=C1)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.65,,,Aurbach,0.5,1,10,71
218,2.7 M LiFSI/EA:TTE (1:0.5),97.64,1.627,O=C(OCC)C:1,FC(F)C(F)(F)COC(F)(F)C(F)F:0.5,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.75,,,Aurbach,0.5,1,10,71
219,2.0 M LiFSI/EA:TTE (1:1),98.73,1.896,O=C(OCC)C:1,FC(F)C(F)(F)COC(F)(F)C(F)F:1,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.67,,,Aurbach,0.5,1,10,71
220,1.3 M LiFSI/EA:TTE (1:2),97.53,1.607,O=C(OCC)C:1,FC(F)C(F)(F)COC(F)(F)C(F)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.59,,,Aurbach,0.5,1,10,71
